Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
297,Magearna,JTG,107,Basic Pokémon,n/a,n/a,n/a,90,{M},{R},{G},1,[Ability] Auto Heal,n/a,n/a,"As long as this Pokémon is in the Active Spot, whenever you attach an Energy card from your hand to 1 of your Pokémon, heal 90 damage from that Pokémon."
297,Magearna,JTG,107,Basic Pokémon,n/a,n/a,n/a,90,{M},{R},{G},1,Spike Draw,●,20,Draw 2 cards.
298,Hop’s Corviknight,JTG,108,Stage 2 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Corvisquire,170,{M},{L},{F},2,Shoot Through,●,50,This attack also does 50 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
298,Hop’s Corviknight,JTG,108,Stage 2 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Corvisquire,170,{M},{L},{F},2,Steel Wing,{M}{M}●,150,"During your opponent’s next turn, this Pokémon takes 60 less damage from attacks (after applying Weakness and Resistance)."
299,Hop’s Zacian ex,JTG,111,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Hop）,n/a,230,{M},{R},{G},2,Insta-Strike,●,30,This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
299,Hop’s Zacian ex,JTG,111,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Hop）,n/a,230,{M},{R},{G},2,Brave Slash,{M}{M}{M}●,240,"During your next turn, this Pokémon can’t use Brave Slash."
300,Bagon,JTG,112,Basic Pokémon,n/a,n/a,n/a,70,竜,n/a,n/a,2,Bite,●,10,n/a
300,Bagon,JTG,112,Basic Pokémon,n/a,n/a,n/a,70,竜,n/a,n/a,2,Reckless Charge,{R}{W},50,This Pokémon also does 10 damage to itself.
301,Shelgon,JTG,113,Stage 1 Pokémon,n/a,n/a,Bagon,100,竜,n/a,n/a,2,Guard Press,●●,30,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
301,Shelgon,JTG,113,Stage 1 Pokémon,n/a,n/a,Bagon,100,竜,n/a,n/a,2,Heavy Impact,{R}{W}●,80,n/a
302,Salamence ex,JTG,114,Stage 2 Pokémon,Pokémon ex,n/a,Shelgon,320,竜,n/a,n/a,2,Wide Blast,{R}●●,n/a,This attack does 50 damage to each of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
302,Salamence ex,JTG,114,Stage 2 Pokémon,Pokémon ex,n/a,Shelgon,320,竜,n/a,n/a,2,Dragon Impact,{R}{W}●●,300,Discard 2 Energy from this Pokémon.
303,N’s Reshiram,JTG,116,Basic Pokémon,n/a,Trainer's Pokémon（N）,n/a,130,竜,n/a,n/a,2,Powerful Rage,{R}{L},20×,This attack does 20 damage for each damage counter on this Pokémon.
303,N’s Reshiram,JTG,116,Basic Pokémon,n/a,Trainer's Pokémon（N）,n/a,130,竜,n/a,n/a,2,Virtuous Flame,{R}{R}{L}●,170,n/a
304,Hop’s Snorlax,JTG,117,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,150,{C},{F},n/a,4,[Ability] Extra Helpings,n/a,n/a,Attacks used by your Hop’s Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). The effect of Extra Helpings doesn’t stack.
304,Hop’s Snorlax,JTG,117,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,150,{C},{F},n/a,4,Dynamic Press,●●●,140,This Pokémon also does 80 damage to itself.
305,Dunsparce,JTG,120,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Trading Places,●,n/a,Switch this Pokémon with 1 of your Benched Pokémon.
305,Dunsparce,JTG,120,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Ram,●●,20,n/a
306,Dudunsparce ex,JTG,121,Stage 1 Pokémon,Pokémon ex,n/a,Dunsparce,270,{C},{F},n/a,3,Tenacious Tail,●,60×,This attack does 60 damage for each of your opponent’s Pokémon {ex} in play.
306,Dudunsparce ex,JTG,121,Stage 1 Pokémon,Pokémon ex,n/a,Dunsparce,270,{C},{F},n/a,3,Destructive Drill,●●●,150,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
307,Hop’s Rookidee,JTG,133,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,60,{C},{L},{F},1,Intimidating Stare,●,n/a,"During your opponent’s next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance)."
307,Hop’s Rookidee,JTG,133,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,60,{C},{L},{F},1,Peck,●●,20,n/a
308,Hop’s Corvisquire,JTG,134,Stage 1 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Rookidee,90,{C},{L},{F},1,Speed Dive,●,30,n/a
308,Hop’s Corvisquire,JTG,134,Stage 1 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Rookidee,90,{C},{L},{F},1,Razor Wing,●●●,80,n/a
309,Hop’s Wooloo,JTG,135,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,70,{C},{F},n/a,1,Smash Kick,●●●,50,n/a
310,Hop’s Dubwool,JTG,136,Stage 1 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Wooloo,120,{C},{F},n/a,2,[Ability] Defiant Horn,n/a,n/a,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
310,Hop’s Dubwool,JTG,136,Stage 1 Pokémon,n/a,Trainer's Pokémon（Hop）,Hop’s Wooloo,120,{C},{F},n/a,2,Headbutt,●●●,80,n/a
311,Hop’s Cramorant,JTG,138,Basic Pokémon,n/a,Trainer's Pokémon（Hop）,n/a,110,{C},{L},{F},1,Fickle Spitting,●,120,"If your opponent doesn’t have exactly 3 or 4 Prize cards remaining, this attack does nothing."
312,Sandy Shocks,TEF,98,Basic Pokémon,n/a,Ancient,n/a,120,{F},{G},n/a,2,Magnetic Burst,{F},20,"If you have 3 or more Energy in play, this attack does 70 more damage. This attack’s damage isn’t affected by Weakness."
312,Sandy Shocks,TEF,98,Basic Pokémon,n/a,Ancient,n/a,120,{F},{G},n/a,2,Power Gem,{F}●,60,n/a
313,Miraidon ex,TEF,122,Basic Pokémon,Pokémon ex,Future,n/a,220,竜,n/a,n/a,1,Repulsion Bolt,{L}{P},60,"If your opponent’s Active Pokémon already has any damage counters on it, this attack does 100 more damage."
313,Miraidon ex,TEF,122,Basic Pokémon,Pokémon ex,Future,n/a,220,竜,n/a,n/a,1,Cyber Drive,{L}{P}●,220,"During your next turn, this Pokémon can’t use Cyber Drive."
314,Marill,SCR,33,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,1,Rollout,●,10,n/a
315,Azumarill,SSP,74,Stage 1 Pokémon,n/a,n/a,Marill,120,{P},{M},n/a,2,[Ability] Glistening Bubbles,n/a,n/a,"If you have any Tera Pokémon in play, this Pokémon can use the Double-Edge attack for {P}."
315,Azumarill,SSP,74,Stage 1 Pokémon,n/a,n/a,Marill,120,{P},{M},n/a,2,Double-Edge,{P}{P}{P}{P},230,This Pokémon also does 50 damage to itself.
316,Sylveon ex,SSP,86,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270,{P},{M},n/a,2,[Tera],n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
316,Sylveon ex,SSP,86,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270,{P},{M},n/a,2,Magical Charm,{P}●●,160,"During your opponent’s next turn, attacks used by the Defending Pokémon do 100 less damage (before applying Weakness and Resistance)."
316,Sylveon ex,SSP,86,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270,{P},{M},n/a,2,Angelite,{W}{L}{P},n/a,"Choose 2 of your opponent’s Benched Pokémon. Shuffle those Pokémon and all attached cards into your opponent’s deck. If 1 of your Pokémon used Angelite during your last turn, this attack can’t be used."
317,Eevee,SSP,143,Basic Pokémon,n/a,n/a,n/a,50,{C},{F},n/a,1,[Ability] Boosted Evolution,n/a,n/a,"As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it."
317,Eevee,SSP,143,Basic Pokémon,n/a,n/a,n/a,50,{C},{F},n/a,1,Reckless Charge,●●,30,This Pokémon also does 10 damage to itself.
318,Ho-Oh,SSP,19,Basic Pokémon,n/a,n/a,n/a,130,{R},{L},{F},2,Flap,{R}●,50,n/a
318,Ho-Oh,SSP,19,Basic Pokémon,n/a,n/a,n/a,130,{R},{L},{F},2,Shining Blaze,{R}{R}●,100,"If you have any Tera Pokémon on your Bench, this attack does 100 more damage."
319,Charcadet,SSP,32,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,1,Will-O-Wisp,{R},20,n/a
320,Ceruledge ex,SSP,36,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Charcadet,270,{R},{W},n/a,2,[Tera],n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
320,Ceruledge ex,SSP,36,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Charcadet,270,{R},{W},n/a,2,Abyssal Flames,{R},30,This attack does 20 more damage for each Energy card in your discard pile.
320,Ceruledge ex,SSP,36,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Charcadet,270,{R},{W},n/a,2,Raging Amethyst,{R}{P}{M},280,Discard all Energy from this Pokémon.
321,Petilil,JTG,6,Basic Pokémon,n/a,n/a,n/a,50,{G},{R},n/a,1,Leaf Step,{G}●,30,n/a
322,Lilligant,JTG,7,Stage 1 Pokémon,n/a,n/a,Petilil,110,{G},{R},n/a,2,[Ability] Sunny Day,n/a,n/a,Attacks used by your {G} Pokémon and {R} Pokémon do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
322,Lilligant,JTG,7,Stage 1 Pokémon,n/a,n/a,Petilil,110,{G},{R},n/a,2,Spinning Attack,{G}●●,60,n/a
323,Nymble,JTG,19,Basic Pokémon,n/a,n/a,n/a,50,{G},{R},n/a,1,Rear Kick,●,20,n/a
324,Torchic,JTG,22,Basic Pokémon,n/a,n/a,n/a,60,{R},{W},n/a,1,Scratch,{R}●,30,n/a
325,Combusken,JTG,23,Stage 1 Pokémon,n/a,n/a,Torchic,90,{R},{W},n/a,2,Slash,{R}●,50,n/a
326,Blaziken ex,JTG,24,Stage 2 Pokémon,Pokémon ex,n/a,Combusken,320,{R},{W},n/a,2,[Ability] Seething Spirit,n/a,n/a,"Once during your turn, you may attach a Basic Energy card from your discard pile to 1 of your Pokémon."
326,Blaziken ex,JTG,24,Stage 2 Pokémon,Pokémon ex,n/a,Combusken,320,{R},{W},n/a,2,Smolder-sault,{R}●,200,"During your next turn, this Pokémon can’t use attacks."
327,Slowpoke,PRE,18,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,2,Water Gun,{W},10,n/a
327,Slowpoke,PRE,18,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,2,Tail Whap,{W}●,30,n/a
328,Pikachu ex,PRE,28,Basic Pokémon,Pokémon ex,n/a,n/a,190,{L},{F},n/a,1,Tail Whap,●,30,n/a
328,Pikachu ex,PRE,28,Basic Pokémon,Pokémon ex,n/a,n/a,190,{L},{F},n/a,1,Thunder,{L}{L}●,220,This Pokémon also does 30 damage to itself.
329,Tapu Koko ex,JTG,51,Basic Pokémon,Pokémon ex,n/a,n/a,200,{L},{F},n/a,n/a,Linked Lightning,{L}●,60,This attack does 20 more damage for each of your Benched Pokémon.
330,Sylveon,PRE,40,Stage 1 Pokémon,n/a,n/a,Eevee,120,{P},{M},n/a,1,[Ability] Safeguard,n/a,n/a,Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon {ex}.
330,Sylveon,PRE,40,Stage 1 Pokémon,n/a,n/a,Eevee,120,{P},{M},n/a,1,Magical Shot,{P}●●,100,n/a
331,XerneasEX,PROMO,179,Basic Pokémon,Pokémon ex,n/a,n/a,210,{P},{M},n/a,1,Aurora Beam,{P}●,50,n/a
331,XerneasEX,PROMO,179,Basic Pokémon,Pokémon ex,n/a,n/a,210,{P},{M},n/a,1,Rising Horns,{P}{P}●,120,"If your opponent’s Active Pokémon is a Pokémon {ex}, this attack does 100 more damage."
332,Dhelmise,JTG,70,Basic Pokémon,n/a,n/a,n/a,130,{P},{D},{F},3,Bind Down,{P}●●,60,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
332,Dhelmise,JTG,70,Basic Pokémon,n/a,n/a,n/a,130,{P},{D},{F},3,Anchor Smash,{P}{P}●●,130,n/a
333,Riolu,PRE,50,Basic Pokémon,n/a,n/a,n/a,70,{F},{P},n/a,1,Quick Attack,{F},10,"Flip a coin. If heads, this attack does 20 more damage."
334,Sneasel,PRE,61,Basic Pokémon,n/a,n/a,n/a,60,{D},{G},n/a,n/a,Claw Slash,{D},20,n/a
335,Bronzor,PRE,66,Basic Pokémon,n/a,n/a,n/a,70,{M},{R},{G},1,Hammer In,{M}●,20,n/a
336,Zacian ex,SVP,198,Basic Pokémon,Pokémon ex,n/a,n/a,220,{M},{R},{G},2,Steel Armament,●,20,"Search your deck for a Basic {M} Energy card and attach it to this Pokémon. Then, shuffle your deck."
336,Zacian ex,SVP,198,Basic Pokémon,Pokémon ex,n/a,n/a,220,{M},{R},{G},2,Slashing Strike,{M}{M}●,210,"During your next turn, this Pokémon can’t use Slashing Strike."
337,LugiaEX,PRE,82,Basic Pokémon,Pokémon ex,n/a,n/a,220,{C},{L},{F},2,Hyper Whirlpool,●●●,140,"Flip a coin until you get tails. For each heads, discard an Energy from your opponent’s Active Pokémon."
338,Ethan's Pinsir,DRI,1,Basic Pokémon,n/a,Trainer's Pokémon（Ethan）,n/a,120,{G},{R},n/a,2,Vise Grip,{G},20,n/a
338,Ethan's Pinsir,DRI,1,Basic Pokémon,n/a,Trainer's Pokémon（Ethan）,n/a,120,{G},{R},n/a,2,Rallying Horn,●●●,70,"If any of your Ethan’s Pokémon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 100 more damage."
339,Yanma,DRI,2,Basic Pokémon,n/a,n/a,n/a,70,{G},{L},{F},1,Whirlwind,●,n/a,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
339,Yanma,DRI,2,Basic Pokémon,n/a,n/a,n/a,70,{G},{L},{F},1,Razor Wing,{G}●,30,n/a
340,Yanmega ex,DRI,3,Stage 1 Pokémon,Pokémon ex,n/a,Yanma,280,{G},{L},{F},1,[Ability] Buzzing Boost,n/a,n/a,"Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic {G} Energy cards and attach them to this Pokémon. Then, shuffle your deck."
340,Yanmega ex,DRI,3,Stage 1 Pokémon,Pokémon ex,n/a,Yanma,280,{G},{L},{F},1,Jet Cyclone,{G}{G}{G}●,210,Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.
341,Cynthia's Roselia,DRI,7,Basic Pokémon,n/a,Trainer's Pokémon（Cynthia）,n/a,70,{G},{R},n/a,1,Spike Sting,●,20,n/a
342,Cynthia's Roserade,DRI,8,Stage 1 Pokémon,n/a,Trainer's Pokémon（Cynthia）,Cynthia's Roselia,130,{G},{R},n/a,1,[Ability] Cheer On to Glory,n/a,n/a,Attacks used by your Cynthia’s Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
342,Cynthia's Roserade,DRI,8,Stage 1 Pokémon,n/a,Trainer's Pokémon（Cynthia）,Cynthia's Roselia,130,{G},{R},n/a,1,Leaf Step,{G}●●,80,n/a
343,Shaymin,DRI,10,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,1,[Ability] Flower Curtain,n/a,n/a,"Prevent all damage done to your Benched Pokémon that don’t have a Rule Box by attacks from your opponent’s Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
343,Shaymin,DRI,10,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,1,Smash Kick,●●,30,n/a
344,Dwebble,DRI,11,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,2,Ascension,●,n/a,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."
345,Crustle,DRI,12,Stage 1 Pokémon,n/a,n/a,Dwebble,150,{G},{R},n/a,3,[Ability] Mysterious Rock Inn,n/a,n/a,Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon {ex}.
345,Crustle,DRI,12,Stage 1 Pokémon,n/a,n/a,Dwebble,150,{G},{R},n/a,3,Superb Scissors,{G}●●,120,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
346,Applin,DRI,16,Basic Pokémon,n/a,n/a,n/a,40,{G},{R},n/a,1,Mini Drain,{G},10,Heal 10 damage from this Pokémon.
347,Dipplin,DRI,17,Stage 1 Pokémon,n/a,n/a,Applin,90,{G},{R},n/a,3,Energy Loop,{G},50,Put an Energy attached to this Pokémon into your hand.
348,Hydrapple,DRI,18,Stage 2 Pokémon,n/a,n/a,Dipplin,170,{G},{R},n/a,3,Hydra Breath,{G},n/a,"Discard 6 Basic {G} Energy cards from your hand, and Knock Out your opponent’s Active Pokémon. If you can’t discard 6 cards in this way, this attack does nothing."
348,Hydrapple,DRI,18,Stage 2 Pokémon,n/a,n/a,Dipplin,170,{G},{R},n/a,3,Whip Smash,{G}●●,140,n/a
349,Teal Mask Ogerpon,DRI,26,Basic Pokémon,n/a,n/a,n/a,110,{G},{R},n/a,1,Grass Kagura,●,n/a,"Search your deck for a Basic {G} Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck."
349,Teal Mask Ogerpon,DRI,26,Basic Pokémon,n/a,n/a,n/a,110,{G},{R},n/a,1,Ogre’s Hammer,{G}{G}●,120,"During your next turn, this Pokémon can’t use Ogre’s Hammer."
350,Ponyta,DRI,29,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,1,Double Headbutt,●,10×,Flip 2 coins. This attack does 10 damage for each heads.
351,Rapidash,DRI,30,Stage 1 Pokémon,n/a,n/a,Ponyta,110,{R},{W},n/a,1,[Ability] Hurried Gait,n/a,n/a,"Once during your turn, you may draw a card."
351,Rapidash,DRI,30,Stage 1 Pokémon,n/a,n/a,Ponyta,110,{R},{W},n/a,1,Fire Mane,{R}●,60,n/a
352,Ethan's Cyndaquil,DRI,32,Basic Pokémon,n/a,Trainer's Pokémon（Ethan）,n/a,70,{R},{W},n/a,1,Ember,{R},30,Discard an Energy from this Pokémon.
353,Ethan's Quilava,DRI,33,Stage 1 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Cyndaquil,100,{R},{W},n/a,1,[Ability] Bonded by the Journey,n/a,n/a,"Once during your turn, you may search your deck for an Ethan’s Adventure card, reveal it, and put it into your hand. Then, shuffle your deck."
353,Ethan's Quilava,DRI,33,Stage 1 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Cyndaquil,100,{R},{W},n/a,1,Combustion,{R},40,n/a
354,Ethan's Typhlosion,DRI,34,Stage 2 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Quilava,170,{R},{W},n/a,2,Buddy Blast,{R},40,This attack does 60 more damage for each Ethan’s Adventure card in your discard pile.
354,Ethan's Typhlosion,DRI,34,Stage 2 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Quilava,170,{R},{W},n/a,2,Steam Artillery,{R}{R}●,160,n/a
355,Ethan's Slugma,DRI,35,Basic Pokémon,n/a,Trainer's Pokémon（Ethan）,n/a,80,{R},{W},n/a,2,Steady Firebreathing,{R},20,n/a
356,Ethan's Magcargo,DRI,36,Stage 1 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Slugma,130,{R},{W},n/a,3,[Ability] Melt Away,n/a,n/a,"If this Pokémon has no Energy attached, it has no Retreat Cost."
356,Ethan's Magcargo,DRI,36,Stage 1 Pokémon,n/a,Trainer's Pokémon（Ethan）,Ethan's Slugma,130,{R},{W},n/a,3,Lava Burst,{R}{R}{R},70×,Discard up to 5 {R} Energy from this Pokémon. This attack does 70 damage for each card you discarded in this way.
357,Ethan's Ho-Oh ex,DRI,39,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Ethan）,n/a,230,{R},{W},n/a,2,[Ability] Golden Flame,n/a,n/a,"Once during your turn, you may attach up to 2 Basic {R} Energy cards from your hand to 1 of your Benched Ethan’s Pokémon."
357,Ethan's Ho-Oh ex,DRI,39,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Ethan）,n/a,230,{R},{W},n/a,2,Shining Feathers,{R}{R}{R}{R},160,Heal 50 damage from each of your Pokémon.
358,Hearthflame Mask Ogerpon,DRI,44,Basic Pokémon,n/a,n/a,n/a,110,{R},{W},n/a,1,Fire Kagura,●,n/a,"Search your deck for a Basic {R} Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck."
358,Hearthflame Mask Ogerpon,DRI,44,Basic Pokémon,n/a,n/a,n/a,110,{R},{W},n/a,1,Searing Flame,{R}{R}●,80,Your opponent’s Active Pokémon is now Burned.
359,Misty's Psyduck,DRI,45,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,70,{W},{L},n/a,1,[Ability] Flustered Leap,n/a,n/a,"Once during your turn, if this Pokémon is on your Bench, you may discard the bottom card of your deck. If you do, discard all cards from this Pokémon and put this Pokémon on top of your deck."
359,Misty's Psyduck,DRI,45,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,70,{W},{L},n/a,1,Sprinkle Water,{W},30,n/a
360,Misty's Staryu,DRI,46,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,70,{W},{L},n/a,1,Bubble Beam,{W},20,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
361,Misty's Starmie,DRI,47,Stage 1 Pokémon,n/a,Trainer's Pokémon（Misty）,Misty's Staryu,100,{W},{L},n/a,1,Abrupt Flash,{W},60,"If this Pokémon evolved from Misty’s Staryu during this turn, this attack does 80 more damage."
362,Misty's Magikarp,DRI,48,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,30,{W},{L},n/a,1,[Ability] So Submerged,n/a,n/a,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon."
362,Misty's Magikarp,DRI,48,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,30,{W},{L},n/a,1,Splash,{W},10,n/a
363,Misty's Gyarados,DRI,49,Stage 1 Pokémon,n/a,Trainer's Pokémon（Misty）,Misty's Magikarp,180,{W},{L},n/a,4,Splashing Panic,{W},70×,"Discard the top 7 cards of your deck, and this attack does 70 damage for each Misty’s Pokémon that you discarded in this way."
363,Misty's Gyarados,DRI,49,Stage 1 Pokémon,n/a,Trainer's Pokémon（Misty）,Misty's Magikarp,180,{W},{L},n/a,4,Waterfall,{W}{W}●,120,n/a
364,Misty's Lapras,DRI,50,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,110,{W},{L},n/a,1,Swim Together,{W},n/a,"Search your deck for up to 3 Misty’s Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
364,Misty's Lapras,DRI,50,Basic Pokémon,n/a,Trainer's Pokémon（Misty）,n/a,110,{W},{L},n/a,1,Surf,{W}●,60,n/a
365,Cynthia's Feebas,DRI,52,Basic Pokémon,n/a,Trainer's Pokémon（Cynthia）,n/a,30,{W},{L},n/a,1,Undulate,●,10,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
366,Cynthia's Milotic,DRI,53,Stage 1 Pokémon,n/a,Trainer's Pokémon（Cynthia）,Cynthia's Feebas,130,{W},{L},n/a,2,Aqua Split,{W}●,60,This attack also does 30 damage to 2 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
367,Buizel,DRI,57,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,1,Tail Whap,●,10,n/a
367,Buizel,DRI,57,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,1,Wave Splash,{W}●●,30,n/a
368,Floatzel,DRI,58,Stage 1 Pokémon,n/a,n/a,Buizel,120,{W},{L},n/a,1,Whirlpool,●●,30,Discard an Energy from your opponent’s Active Pokémon.
368,Floatzel,DRI,58,Stage 1 Pokémon,n/a,n/a,Buizel,120,{W},{L},n/a,1,Aqua Slash,{W}●●,140,"During your next turn, this Pokémon can’t attack."
369,Dondozo ex,DRI,66,Basic Pokémon,Pokémon ex,n/a,n/a,260,{W},{L},n/a,4,Avenging Billow,{W}●,30,This attack does 10 more damage for each damage counter on this Pokémon.
369,Dondozo ex,DRI,66,Basic Pokémon,Pokémon ex,n/a,n/a,260,{W},{L},n/a,4,Dynamic Dive,{W}{W}●●,120,"You may do 120 more damage. If you do, this Pokémon also does 50 damage to itself."
370,Wellspring Mask Ogerpon,DRI,67,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Water Kagura,●,n/a,"Search your deck for a Basic {W} Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck."
370,Wellspring Mask Ogerpon,DRI,67,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Bubble Drain,{W}{W}●,100,Heal 30 damage from this Pokémon.
371,Electabuzz,DRI,68,Basic Pokémon,n/a,n/a,n/a,90,{L},{F},n/a,2,Electroslug,{L}●,50,n/a
372,Electivire ex,DRI,69,Stage 1 Pokémon,Pokémon ex,n/a,Electabuzz,280,{L},{F},n/a,4,Dual Bolt,{L}●,n/a,This attack does 50 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
372,Electivire ex,DRI,69,Stage 1 Pokémon,Pokémon ex,n/a,Electabuzz,280,{L},{F},n/a,4,High-Voltage Press,{L}{L}●,180,"If this Pokémon has at least 2 extra Energy attached (in addition to this attack’s cost), this attack does 100 more damage."
373,Ethan's Pichu,DRI,71,Basic Pokémon,n/a,Trainer's Pokémon（Ethan）,n/a,30,{L},{F},n/a,n/a,Zapping Draw,No cost,30,Draw a card.
374,Electrike,DRI,75,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Rear Kick,●,10,n/a
374,Electrike,DRI,75,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Tiny Bolt,{L}●,30,n/a
375,Manectric,DRI,76,Stage 1 Pokémon,n/a,n/a,Electrike,120,{L},{F},n/a,1,Zap Kick,●,30,n/a
375,Manectric,DRI,76,Stage 1 Pokémon,n/a,n/a,Electrike,120,{L},{F},n/a,1,Flash Impact,{L}●,120,This attack also does 40 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
376,Rotom,DRI,77,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Astonish,{L},20,Choose a random card from your opponent’s hand. Your opponent reveals that card and shuffles it into their deck.
376,Rotom,DRI,77,Basic Pokémon,n/a,n/a,n/a,60,{L},{F},n/a,1,Gadget Show,●●,30×,This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.
377,Zeraora,DRI,78,Basic Pokémon,n/a,n/a,n/a,100,{L},{F},n/a,1,Scratch,●,20,n/a
