カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
200,コフーライ,SV8,005/106,ポケモン/1進化,n/a,n/a,コフキムシ,80,草,炎,n/a,3,あるきまわる,●,n/a,このポケモンをベンチポケモンと入れ替える。
200,コフーライ,SV8,005/106,ポケモン/1進化,n/a,n/a,コフキムシ,80,草,炎,n/a,3,たいあたり,草,30,n/a
201,チオンジェン,SV8,010/106,ポケモン/たね,n/a,n/a,n/a,130,草,炎,n/a,3,グリードハザード,草●,20,自分の山札の残り枚数が3枚以下なら、相手のベンチポケモン2匹にも、それぞれ120ダメージ。［ベンチは弱点・抵抗力を計算しない。］
201,チオンジェン,SV8,010/106,ポケモン/たね,n/a,n/a,n/a,130,草,炎,n/a,3,まきこみウィップ,草草●,130,自分の山札を上から3枚トラッシュする。
202,ビクティニ,SV8,012/106,ポケモン/たね,n/a,n/a,n/a,70,炎,水,n/a,1,[特性]ビクトリーエール,n/a,n/a,このポケモンがいるかぎり、自分の【炎】タイプの進化ポケモンが使うワザの、相手のバトルポケモンへのダメージは「+10」される。
202,ビクティニ,SV8,012/106,ポケモン/たね,n/a,n/a,n/a,70,炎,水,n/a,1,ほのお,炎●,30,n/a
203,ラウドボーン,MC,144/742,ポケモン/2進化,n/a,n/a,アチゲータ,180,炎,水,n/a,3,[特性]てんねん,n/a,n/a,このポケモンは、相手のポケモンが使うワザの効果を受けない。
203,ラウドボーン,MC,144/742,ポケモン/2進化,n/a,n/a,アチゲータ,180,炎,水,n/a,3,フレアリサイタル,炎●,60,おたがいのベンチポケモンの数×20ダメージ追加。
204,カルボウ,SV8,020/106,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,なぐる,炎,10,n/a
204,カルボウ,SV8,020/106,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,かえんほうしゃ,炎炎●,70,このポケモンについているエネルギーを1個選び、トラッシュする。
205,スコヴィランex,MC,147/742,ポケモン/1進化,ex,n/a,カプサイジ,260,炎,水,n/a,2,[特性]ダブルタイプ,n/a,n/a,このポケモンは、場にいるかぎり【草】と【炎】の2つのタイプになる。
205,スコヴィランex,MC,147/742,ポケモン/1進化,ex,n/a,カプサイジ,260,炎,水,n/a,2,スパイシーレイジ,炎炎,10,このポケモンにのっているダメカンの数×70ダメージ追加。
206,ヒンバス,MC,184/742,ポケモン/たね,n/a,n/a,n/a,30,水,雷,n/a,1,はねにげ,●,n/a,このポケモンをベンチポケモンと入れ替える。
207,ミロカロスex,MC,185/742,ポケモン/1進化,ex,n/a,ヒンバス,270,水,雷,n/a,2,[特性]きらめくウロコ,n/a,n/a,このポケモンは、相手の「テラスタル」のポケモンからワザのダメージや効果を受けない。
207,ミロカロスex,MC,185/742,ポケモン/1進化,ex,n/a,ヒンバス,270,水,雷,n/a,2,ヒプノスプラッシュ,水●●,160,相手のバトルポケモンを【ねむり】にする。
208,カラナクシ,SV8,030/106,ポケモン/たね,n/a,n/a,n/a,70,水,雷,n/a,2,うちみず,●●,30,n/a
209,パオジアン,M2a,043/193,ポケモン/たね,n/a,n/a,n/a,120,水,鋼,n/a,1,[特性]ゆきにしずめる,n/a,n/a,自分の番に、このカードを手札からベンチに出したとき、1回使える。場に出ているスタジアムをトラッシュする。
209,パオジアン,M2a,043/193,ポケモン/たね,n/a,n/a,n/a,120,水,鋼,n/a,1,アイシクルループ,水水●,120,このポケモンについているエネルギーを1個選び、手札にもどす。
210,ピカチュウex,M2a,044/193,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,雷,闘,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
210,ピカチュウex,M2a,044/193,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,雷,闘,n/a,1,[特性]がんばりハート,n/a,n/a,このポケモンのHPがまんたんの状態で、このポケモンがワザのダメージを受けて【きぜつ】するとき、【きぜつ】せず、残りHPが「10」の状態で場に残る。
210,ピカチュウex,M2a,044/193,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,雷,闘,n/a,1,トパーズボルト,草雷鋼,300,このポケモンについているエネルギーを3個選び、トラッシュする。
211,レアコイル,MC,232/742,ポケモン/1進化,n/a,n/a,コイル,100,雷,闘,n/a,1,[特性]かじょうほうでん,n/a,n/a,自分の番に1回使えて、使ったなら、このポケモンを【きぜつ】させる。自分のトラッシュから基本エネルギーを3枚まで選び、自分の【雷】ポケモンに好きなようにつける。
211,レアコイル,MC,232/742,ポケモン/1進化,n/a,n/a,コイル,100,雷,闘,n/a,1,ライトニングボール,雷●,40,n/a
212,ロトム,MC,248/742,ポケモン/たね,n/a,n/a,n/a,80,雷,闘,n/a,1,クラッシュパルス,雷,n/a,相手の手札を見て、その中にある「グッズ」と「ポケモンのどうぐ」を、すべてトラッシュする。
212,ロトム,MC,248/742,ポケモン/たね,n/a,n/a,n/a,80,雷,闘,n/a,1,エネショート,雷,20×,相手のバトルポケモンについているエネルギーの数×20ダメージ。
213,カプ・コケコ,MC,265/742,ポケモン/たね,n/a,n/a,n/a,120,雷,闘,n/a,1,かみなりをよぶ,●,n/a,自分の山札から【雷】ポケモンを2枚まで選び、相手に見せて、手札に加える。そして山札を切る。
213,カプ・コケコ,MC,265/742,ポケモン/たね,n/a,n/a,n/a,120,雷,闘,n/a,1,サイドカウンター,雷雷●,90,自分のサイドの残り枚数が、相手のサイドの残り枚数より多いなら、90ダメージ追加。
214,トゲキッス,MC,293/742,ポケモン/2進化,n/a,n/a,トゲチック,140,超,鋼,n/a,1,[特性]ワンダーキッス,n/a,n/a,このポケモンがいるかぎり、相手のバトルポケモンが【きぜつ】するたび、自分はコインを1回投げる。オモテなら、サイドを1枚多くとる。この効果は、この特性を持つポケモンが何匹いても、重ならない。
214,トゲキッス,MC,293/742,ポケモン/2進化,n/a,n/a,トゲチック,140,超,鋼,n/a,1,スピードウイング,●●●,140,n/a
215,ユクシー,MC,314/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,いたみのきおく,超,n/a,相手のポケモン全員に、それぞれダメカンを2個のせる。
216,エムリット,MC,315/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,こころをみたす,●,n/a,自分の手札から「基本【超】エネルギー」を2枚まで選び、自分のポケモンに好きなようにつける。
216,エムリット,MC,315/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,ゴッドバースト,超超,160,自分のベンチに「ユクシー」「アグノム」がいないなら、このワザは失敗。
217,アグノム,MC,316/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,マインドキネシス,超●,10,相手のポケモン全員にのっているダメカンの数×10ダメージ追加。
218,デスマス,MC,319/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,2,つぶやく,超,10,n/a
218,デスマス,MC,319/742,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,2,ちょっとうらむ,超●,20,n/a
219,デスカーン,MC,321/742,ポケモン/1進化,n/a,n/a,デスマス,120,超,悪,闘,2,めいふのおきて,超,n/a,おたがいの特性を持つポケモン全員に、それぞれダメカンを6個のせる。
219,デスカーン,MC,321/742,ポケモン/1進化,n/a,n/a,デスマス,120,超,悪,闘,2,ホロウショット,超●●,100,n/a
220,ニャスパー,MC,331/742,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,みすかす,●,n/a,相手の手札を見る。
220,ニャスパー,MC,331/742,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,サイコショット,超●,20,n/a
221,ニャオニクス,MC,332/742,ポケモン/1進化,n/a,n/a,ニャスパー,90,超,悪,闘,1,[特性]さそうしっぽ,n/a,n/a,自分の番に、自分の手札から「のんびりじゃらし」を1枚トラッシュするなら、1回使える。相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。
221,ニャオニクス,MC,332/742,ポケモン/1進化,n/a,n/a,ニャスパー,90,超,悪,闘,1,サイコショット,超●●,80,n/a
222,デデンネ,SV8,055/106,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,1,でんじソナー,●,n/a,自分のトラッシュからトレーナーズを1枚選び、相手に見せて、手札に加える。
222,デデンネ,SV8,055/106,ポケモン/たね,n/a,n/a,n/a,70,超,鋼,n/a,1,かじる,超,30,n/a
223,シロデスナex,SV8,057/106,ポケモン/1進化,ex,テラスタル(ステラ),スナバァ,280,超,悪,闘,4,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
223,シロデスナex,SV8,057/106,ポケモン/1進化,ex,テラスタル(ステラ),スナバァ,280,超,悪,闘,4,すなじごく,●●●,160,次の相手の番、このワザを受けたポケモンは、にげられない。
223,シロデスナex,SV8,057/106,ポケモン/1進化,ex,テラスタル(ステラ),スナバァ,280,超,悪,闘,4,バライトジェイル,水超闘,n/a,相手のベンチポケモン全員に、それぞれ残りHPが「100」になるように、ダメカンをのせる。
224,コノヨザル,SV8,062/106,ポケモン/2進化,n/a,n/a,オコリザル,140,闘,超,n/a,2,あばれまわる,闘,130,このポケモンを【こんらん】にする。
224,コノヨザル,SV8,062/106,ポケモン/2進化,n/a,n/a,オコリザル,140,闘,超,n/a,2,みちづれファイト,闘●,n/a,おたがいのバトルポケモンを【きぜつ】させる。
225,トリトドン,SV8,066/106,ポケモン/1進化,n/a,n/a,カラナクシ,130,闘,草,n/a,3,[特性]ねんちゃくしばり,n/a,n/a,このポケモンがベンチにいるかぎり、おたがいのベンチの【2進化】ポケモンの特性は、すべてなくなる。
225,トリトドン,SV8,066/106,ポケモン/1進化,n/a,n/a,カラナクシ,130,闘,草,n/a,3,マッドショット,闘●●,80,n/a
226,コライドン,SV8,069/106,ポケモン/たね,n/a,古代,n/a,130,闘,超,n/a,2,はじょうもうこう,●●,30,前の自分の番、このポケモン以外の「古代」のポケモンがワザを使っていたなら、150ダメージ追加。
226,コライドン,SV8,069/106,ポケモン/たね,n/a,古代,n/a,130,闘,超,n/a,2,ぶちかます,闘闘●,110,n/a
227,モノズ,SV8,070/106,ポケモン/たね,n/a,n/a,n/a,70,悪,草,n/a,1,ふみならす,悪,n/a,相手の山札を上から1枚トラッシュする。
227,モノズ,SV8,070/106,ポケモン/たね,n/a,n/a,n/a,70,悪,草,n/a,1,かみつく,悪●,20,n/a
228,ジヘッド,SV8,071/106,ポケモン/1進化,n/a,n/a,モノズ,100,悪,草,n/a,2,ふみならす,悪,n/a,相手の山札を上から2枚トラッシュする。
228,ジヘッド,SV8,071/106,ポケモン/1進化,n/a,n/a,モノズ,100,悪,草,n/a,2,やみのキバ,悪●●,60,n/a
229,サザンドラex,SV8,072/106,ポケモン/2進化,ex,テラスタル(ステラ),ジヘッド,330,悪,草,n/a,3,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
229,サザンドラex,SV8,072/106,ポケモン/2進化,ex,テラスタル(ステラ),ジヘッド,330,悪,草,n/a,3,クラッシュヘッズ,悪●,200,相手の山札を上から3枚トラッシュする。
229,サザンドラex,SV8,072/106,ポケモン/2進化,ex,テラスタル(ステラ),ジヘッド,330,悪,草,n/a,3,オブシディアン,超悪鋼●,130,相手のベンチポケモン2匹にも、それぞれ130ダメージ。［ベンチは弱点・抵抗力を計算しない。］
230,モモワロウ,MC,490/742,ポケモン/たね,n/a,n/a,n/a,80,悪,闘,n/a,1,[特性]もうどくしはい,n/a,n/a,このポケモンがバトル場にいるかぎり、相手の【どく】のポケモンは、【どく】でのせるダメカンの数が5個多くなる。
230,モモワロウ,MC,490/742,ポケモン/たね,n/a,n/a,n/a,80,悪,闘,n/a,1,ポイズンチェーン,悪●,10,相手のバトルポケモンを【どく】にする。次の相手の番、このワザを受けたポケモンは、にげられない。
231,シャリタツex,SV8,081/106,ポケモン/たね,ex,テラスタル(ステラ),n/a,160,竜,n/a,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
231,シャリタツex,SV8,081/106,ポケモン/たね,ex,テラスタル(ステラ),n/a,160,竜,n/a,n/a,1,ふいうちポンプ,炎水,100,このワザのダメージは、相手のバトルポケモンにかかっている効果を計算しない。
231,シャリタツex,SV8,081/106,ポケモン/たね,ex,テラスタル(ステラ),n/a,160,竜,n/a,n/a,1,シナバールアー,炎水悪,n/a,自分の山札を上から10枚見て、その中からポケモンを好きなだけ選び、ベンチに出す。残りのカードは山札にもどして切る。
232,ケッキングex,MC,583/742,ポケモン/2進化,ex,n/a,ヤルキモノ,340,無,闘,n/a,4,[特性]さぼりたいしつ,n/a,n/a,相手の場に「ポケモン【ex】・【V】」がいないなら、このポケモンはワザが使えない。
232,ケッキングex,MC,583/742,ポケモン/2進化,ex,n/a,ヤルキモノ,340,無,闘,n/a,4,グレートスイング,●●,280,このポケモンについているエネルギーを1個選び、トラッシュする。
233,バッフロン,SV8,087/106,ポケモン/たね,n/a,n/a,n/a,130,無,闘,n/a,2,まちうけホーン,●●,40,次の相手の番、このポケモンがワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを6個のせる。
233,バッフロン,SV8,087/106,ポケモン/たね,n/a,n/a,n/a,130,無,闘,n/a,2,スマッシュヘッド,●●●●,150,このポケモンについているエネルギーを2個選び、トラッシュする。
234,テラパゴス,MC,629/742,ポケモン/たね,n/a,n/a,n/a,120,無,闘,n/a,2,プリズムチャージ,●,n/a,自分の山札から、それぞれちがうタイプの基本エネルギーを3枚まで選び、自分の「テラスタル」のポケモンに好きなようにつける。そして山札を切る。
234,テラパゴス,MC,629/742,ポケモン/たね,n/a,n/a,n/a,120,無,闘,n/a,2,ハードタックル,●●●,100,n/a
235,スボミー,M2a,011/193,ポケモン/たね,n/a,n/a,n/a,30,草,炎,n/a,n/a,むずむずかふん,0コスト,10,次の相手の番、相手は手札からグッズを出して使えない。
236,リーフィアex,MC,038/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,草,炎,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
236,リーフィアex,MC,038/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,草,炎,n/a,2,あおばのあらし,草●,60×,相手のポケモン全員についているエネルギーの数×60ダメージ。
236,リーフィアex,MC,038/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,草,炎,n/a,2,モスアゲート,草炎水,230,自分のベンチポケモン全員のHPを、それぞれ「100」回復する。
237,モンメン,SV8a,004/187,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,トリプルスピン,草,10×,コインを3回投げ、オモテの数×10ダメージ。
238,エルフーン,SV8a,005/187,ポケモン/1進化,n/a,n/a,モンメン,100,草,炎,n/a,1,[特性]かるがるヒール,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のバトル場の【草】ポケモンのHPを、すべて回復する。その後、回復したポケモンについているエネルギーを、すべてトラッシュする。
238,エルフーン,SV8a,005/187,ポケモン/1進化,n/a,n/a,モンメン,100,草,炎,n/a,1,タネばくだん,草,40,n/a
239,ブースターex,MC,094/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,炎,水,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
239,ブースターex,MC,094/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,炎,水,n/a,2,バーニングチャージ,炎●,130,自分の山札から基本エネルギーを2枚まで選び、自分のポケモン1匹につける。そして山札を切る。
239,ブースターex,MC,094/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,炎,水,n/a,2,カーネリアン,炎水雷,280,次の自分の番、このポケモンはワザが使えない。
240,アズマオウ,SV8a,029/187,ポケモン/1進化,n/a,n/a,トサキント,110,水,雷,n/a,1,[特性]おまつりおんど,n/a,n/a,場に「お祭り会場」が出ているなら、このポケモンは、持っているワザを2回連続で使える。（1回目のワザで相手のバトルポケモンが【きぜつ】したなら、次のバトルポケモンが出たあと、2回目のワザを使う。）
240,アズマオウ,SV8a,029/187,ポケモン/1進化,n/a,n/a,トサキント,110,水,雷,n/a,1,クイックドロー,●,60,自分の山札を2枚引く。
241,シャワーズex,MC,161/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,水,雷,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
241,シャワーズex,MC,161/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,水,雷,n/a,2,ヘビースコール,水●,n/a,相手の「ポケモン【ex】」全員に、それぞれ60ダメージ。このワザのダメージは弱点・抵抗力を計算しない。
241,シャワーズex,MC,161/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,水,雷,n/a,2,アクアマリン,炎水雷,280,次の自分の番、このポケモンはワザが使えない。
242,ヒンバス,SV8a,035/187,ポケモン/たね,n/a,n/a,n/a,30,水,雷,n/a,1,じたばた,水,10×,このポケモンにのっているダメカンの数×10ダメージ。
243,グレイシアex,MC,162/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,水,鋼,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
243,グレイシアex,MC,162/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,水,鋼,n/a,1,フロストバレット,水●,110,相手のベンチポケモン1匹にも、30ダメージ。［ベンチは弱点・抵抗力を計算しない。］
243,グレイシアex,MC,162/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,水,鋼,n/a,1,ユークレース,草水悪,n/a,ダメカンが6個のっている相手のポケモンを1匹選び、【きぜつ】させる。
244,サンダースex,MC,238/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,260,雷,闘,n/a,n/a,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
244,サンダースex,MC,238/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,260,雷,闘,n/a,n/a,フラッシュスピア,雷●,60,のぞむなら、自分のベンチポケモンについている基本エネルギーを2枚までトラッシュし、その枚数×90ダメージ追加。
244,サンダースex,MC,238/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,260,雷,闘,n/a,n/a,ドラバイト,炎水雷,280,次の自分の番、このポケモンはワザが使えない。
245,フーディン,SV8a,059/187,ポケモン/2進化,n/a,n/a,ユンゲラー,140,超,悪,闘,1,ストレンジハック,超,n/a,相手のバトルポケモンを【こんらん】にする。相手の場のポケモンにのっているダメカンを好きなだけ選び、相手の場のポケモンに好きなようにのせ替える。
245,フーディン,SV8a,059/187,ポケモン/2進化,n/a,n/a,ユンゲラー,140,超,悪,闘,1,サイコキネシス,超,10,相手のバトルポケモンについているエネルギーの数×50ダメージ追加。
246,エーフィex,MC,298/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,超,悪,闘,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
246,エーフィex,MC,298/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,超,悪,闘,1,サイコアウト,超●●,160,相手の手札からオモテを見ないで1枚選び、トラッシュする。
246,エーフィex,MC,298/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,270,超,悪,闘,1,アマゼツ,草超悪,n/a,相手の進化しているポケモン全員の上から、それぞれ「進化カード」を1枚ずつはがして退化させる。はがしたカードは、相手の山札にもどして切る。
247,ペロッパフ,SV8a,067/187,ポケモン/たね,n/a,n/a,n/a,50,超,鋼,n/a,1,[特性]おまつりおんど,n/a,n/a,場に「お祭り会場」が出ているなら、このポケモンは、持っているワザを2回連続で使える。（1回目のワザで相手のバトルポケモンが【きぜつ】したなら、次のバトルポケモンが出たあと、2回目のワザを使う。）
247,ペロッパフ,SV8a,067/187,ポケモン/たね,n/a,n/a,n/a,50,超,鋼,n/a,1,そっとのせる,超,n/a,相手のポケモン1匹に、ダメカンを2個のせる。
248,ブラッキーex,MC,446/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,悪,草,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
248,ブラッキーex,MC,446/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,悪,草,n/a,2,ムーンミラージュ,悪●●,160,相手のバトルポケモンを【こんらん】にする。
248,ブラッキーex,MC,446/742,ポケモン/1進化,ex,テラスタル(ステラ),イーブイ,280,悪,草,n/a,2,オニキス,雷超悪,n/a,このポケモンについているエネルギーをすべてトラッシュし、自分のサイドを1枚とる。
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,無,闘,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,無,闘,n/a,1,[特性]にじいろDNA,n/a,n/a,このポケモンは、「イーブイ」から進化する「ポケモン【ex】」を手札から出して、このポケモンにのせて進化できる。（最初の自分の番や、出したばかりの番には進化できない。）
249,イーブイex,MC,566/742,ポケモン/たね,ex,テラスタル(ステラ),n/a,200,無,闘,n/a,1,クォーツシャイン,炎水雷,200,n/a
250,ホーホー,SV8a,127/187,ポケモン/たね,n/a,n/a,n/a,80,無,雷,闘,2,[特性]ふみん,n/a,n/a,このポケモンは【ねむり】にならない。
250,ホーホー,SV8a,127/187,ポケモン/たね,n/a,n/a,n/a,80,無,雷,闘,2,たいあたり,●●,20,n/a
251,レジギガス,SV8a,132/187,ポケモン/たね,n/a,n/a,n/a,160,無,闘,n/a,4,ジュエルブレイク,●●●●,100,相手のバトルポケモンが「テラスタル」のポケモンなら、230ダメージ追加。
252,キャタピー,SV9,001/100,ポケモン/たね,n/a,n/a,n/a,50,草,炎,n/a,1,むしくい,草,20,n/a
253,トランセル,SV9,002/100,ポケモン/1進化,n/a,n/a,キャタピー,90,草,炎,n/a,3,かたくなる,草,n/a,次の相手の番、このポケモンは「60」以下のワザのダメージを受けない。
254,バタフリー,SV9,003/100,ポケモン/2進化,n/a,n/a,トランセル,120,草,炎,n/a,1,りんぷんハリケーン,草,60×,コインを4回投げ、オモテの数×60ダメージ。オモテが2回以上なら、相手のバトルポケモンを【マヒ】にする。
255,マラカッチ,SV9,006/100,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,2,[特性]さくれつばり,n/a,n/a,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けて【きぜつ】したとき、ワザを使ったポケモンにダメカンを6個のせる。
255,マラカッチ,SV9,006/100,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,2,おいつめる,●,20,次の相手の番、このワザを受けたポケモンは、にげられない。
256,ブーバーン,MC,092/742,ポケモン/1進化,n/a,n/a,ブーバー,130,炎,水,n/a,2,[特性]マグマのはどう,n/a,n/a,このポケモンがいるかぎり、相手の【やけど】のポケモンは、【やけど】でのせるダメカンの数が3個多くなる。
256,ブーバーン,MC,092/742,ポケモン/1進化,n/a,n/a,ブーバー,130,炎,水,n/a,2,やきこがす,炎炎●,90,コインを1回投げオモテなら、相手のバトルポケモンを【やけど】にする。
257,Nのダルマッカ,MC,118/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,80,炎,水,n/a,2,ころがりタックル,●●,20,n/a
257,Nのダルマッカ,MC,118/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,80,炎,水,n/a,2,ほのお,炎炎●,50,n/a
258,Nのヒヒダルマ,MC,119/742,ポケモン/1進化,n/a,トレーナーのポケモン（N）,Nのダルマッカ,140,炎,水,n/a,3,バックドラフト,●●,30×,相手のトラッシュにある基本エネルギーの枚数×30ダメージ。
258,Nのヒヒダルマ,MC,119/742,ポケモン/1進化,n/a,トレーナーのポケモン（N）,Nのダルマッカ,140,炎,水,n/a,3,ひだるまキャノン,炎炎●,90,このポケモンについているエネルギーをすべてトラッシュし、相手のベンチポケモン1匹にも、90ダメージ。［ベンチは弱点・抵抗力を計算しない。］
259,ボルケニオンex,MC,129/742,ポケモン/たね,ex,n/a,n/a,220,炎,水,n/a,3,[特性]やけつくじょうき,n/a,n/a,このポケモンがバトル場にいるなら、自分の番に1回使える。相手のバトルポケモンを【やけど】にする。
259,ボルケニオンex,MC,129/742,ポケモン/たね,ex,n/a,n/a,220,炎,水,n/a,3,ヒートサイクロン,炎炎●,160,このポケモンについているエネルギーを1個選び、ベンチポケモンにつけ替える。
260,ハスボー,MC,175/742,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,みずでっぽう,水,20,n/a
261,ハスブレロ,MC,176/742,ポケモン/1進化,n/a,n/a,ハスボー,90,水,雷,n/a,1,アクアスラッシュ,水水,70,次の自分の番、このポケモンはワザが使えない。
262,ルンパッパ,MC,177/742,ポケモン/2進化,n/a,n/a,ハスブレロ,140,水,雷,n/a,2,[特性]バイタルサンバ,n/a,n/a,このポケモンがいるかぎり、自分の場のポケモン全員の最大HPは、それぞれ「+40」される。この効果は、この特性を持つポケモンが何匹いても、重ならない。
262,ルンパッパ,MC,177/742,ポケモン/2進化,n/a,n/a,ハスブレロ,140,水,雷,n/a,2,ハイドロスプラッシュ,水水●,130,n/a
263,ホエルコ,MC,180/742,ポケモン/たね,n/a,n/a,n/a,130,水,雷,n/a,3,なみのり,●●●,60,n/a
264,ホエルオー,MC,181/742,ポケモン/1進化,n/a,n/a,ホエルコ,240,水,雷,n/a,4,ハイドロポンプ,●●●●,10,このポケモンについている【水】エネルギーの数×50ダメージ追加。
265,ナンジャモのビリリダマ,MC,234/742,ポケモン/たね,n/a,トレーナーのポケモン（ナンジャモ）,n/a,70,雷,闘,n/a,1,チェインボルト,●●,20,自分の「ナンジャモのポケモン」全員についている【雷】エネルギーの数×20ダメージ追加。
266,ナンジャモのマルマイン,MC,235/742,ポケモン/1進化,n/a,トレーナーのポケモン（ナンジャモ）,ナンジャモのビリリダマ,100,雷,闘,n/a,n/a,どきどきボム,雷雷,n/a,このポケモンに100ダメージ。コインを1回投げオモテなら、相手のバトルポケモンを【きぜつ】させる。
266,ナンジャモのマルマイン,MC,235/742,ポケモン/1進化,n/a,トレーナーのポケモン（ナンジャモ）,ナンジャモのビリリダマ,100,雷,闘,n/a,n/a,ライトニングボール,雷雷●,100,n/a
267,Nのバチュル,SV9,028/100,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,40,雷,闘,n/a,1,バチバチショート,●●,30,ダメージを与える前に、相手のバトルポケモンについている「ポケモンのどうぐ」をトラッシュする。トラッシュした場合、相手のバトルポケモンを【マヒ】にする。
268,ナンジャモのズピカ,MC,273/742,ポケモン/たね,n/a,トレーナーのポケモン（ナンジャモ）,n/a,60,雷,闘,n/a,2,プチでんき,雷●,30,n/a
269,ナンジャモのハラバリーex,MC,274/742,ポケモン/1進化,ex,トレーナーのポケモン（ナンジャモ）,ナンジャモのズピカ,280,雷,闘,n/a,2,[特性]エレキストリーマー,n/a,n/a,自分の番に何回でも使える。自分の手札から「基本【雷】エネルギー」を1枚選び、自分の「ナンジャモのポケモン」につける。
269,ナンジャモのハラバリーex,MC,274/742,ポケモン/1進化,ex,トレーナーのポケモン（ナンジャモ）,ナンジャモのズピカ,280,雷,闘,n/a,2,サンダーボルト,雷雷雷●,230,次の自分の番、このポケモンはワザが使えない。
270,ナンジャモのカイデン,MC,278/742,ポケモン/たね,n/a,トレーナーのポケモン（ナンジャモ）,n/a,60,雷,雷,闘,1,でんこうせっか,雷,10,コインを1回投げオモテなら、20ダメージ追加。
